,activity,event,dataset_id,true_pos,false_pos,false_neg,precision,recall,F1,mean_abs_time_diff
44,treadmill_walknrun,HS,Sub1_LF_HS,2327,764,0,0.7528307990941443,1.0,0.8589885566629752,2.362269015900301
45,treadmill_walknrun,HS,Sub1_RF_HS,1676,527,2,0.7607807535179301,0.99880810488677,0.8636949239886627,2.3627684964200477
46,treadmill_walknrun,HS,Sub2_LF_HS,2417,693,0,0.7771704180064308,1.0,0.8746155237922925,2.4468349193214727
47,treadmill_walknrun,HS,Sub2_RF_HS,882,88,27,0.9092783505154639,0.9702970297029703,0.9387972325705163,1.963718820861678
48,treadmill_walknrun,HS,Sub3_LF_HS,581,230,0,0.7163995067817509,1.0,0.8347701149425287,3.487091222030981
49,treadmill_walknrun,HS,Sub3_RF_HS,495,100,0,0.8319327731092437,1.0,0.908256880733945,2.0545454545454547
50,treadmill_walknrun,HS,Sub4_LF_HS,538,205,0,0.7240915208613729,1.0,0.839968774395004,2.366171003717472
51,treadmill_walknrun,HS,Sub4_RF_HS,1864,479,0,0.7955612462654716,1.0,0.8861421440456382,2.1469957081545066
52,treadmill_walknrun,HS,Sub5_LF_HS,2113,224,0,0.904150620453573,1.0,0.9496629213483146,2.3099858021769997
53,treadmill_walknrun,HS,Sub5_RF_HS,1849,181,0,0.9108374384236453,1.0,0.9533384893013663,2.3834505137912383
54,treadmill_walknrun,HS,Sub6_LF_HS,477,352,4,0.5753920386007237,0.9916839916839917,0.7282442748091604,1.9811320754716981
55,treadmill_walknrun,HS,Sub6_RF_HS,733,431,14,0.6297250859106529,0.9812583668005355,0.7671376242804814,2.3969986357435196
56,treadmill_walknrun,HS,Sub7_LF_HS,563,398,6,0.5858480749219563,0.9894551845342706,0.7359477124183006,1.4813499111900532
57,treadmill_walknrun,HS,Sub7_RF_HS,763,472,0,0.6178137651821862,1.0,0.7637637637637638,2.0249017038007864
58,treadmill_walknrun,HS,Sub8_LF_HS,1762,682,0,0.720949263502455,1.0,0.8378506894912031,1.949489216799092
59,treadmill_walknrun,HS,Sub8_RF_HS,1293,48,0,0.9642058165548099,1.0,0.9817767653758542,1.5707656612529002
60,treadmill_walknrun,HS,Sub9_LF_HS,582,894,26,0.3943089430894309,0.9572368421052632,0.5585412667946258,2.1030927835051547
61,treadmill_walknrun,HS,Sub9_RF_HS,607,456,1,0.5710253998118533,0.9983552631578947,0.7265110712148414,1.6622734761120264
62,treadmill_walknrun,HS,Sub10_LF_HS,507,176,0,0.7423133235724744,1.0,0.8521008403361344,2.0059171597633134
63,treadmill_walknrun,HS,Sub10_RF_HS,474,129,9,0.7860696517412935,0.9813664596273292,0.87292817679558,2.0274261603375527
64,treadmill_walknrun,HS,Sub11_LF_HS,1717,75,0,0.9581473214285714,1.0,0.9786263892846965,1.9039021549213746
65,treadmill_walknrun,HS,Sub11_RF_HS,1778,34,0,0.9812362030905077,1.0,0.9905292479108635,2.014060742407199
66,treadmill_walknrun,TO,Sub1_LF_TO,19,100,251,0.15966386554621848,0.07037037037037037,0.09768637532133677,2.263157894736842
67,treadmill_walknrun,TO,Sub1_RF_TO,63,311,236,0.16844919786096257,0.21070234113712374,0.187221396731055,1.9047619047619047
68,treadmill_walknrun,TO,Sub2_LF_TO,0,129,261,0.0,0.0,0.0,1000.0
69,treadmill_walknrun,TO,Sub2_RF_TO,364,286,73,0.56,0.8329519450800915,0.6697332106715732,2.793956043956044
70,treadmill_walknrun,TO,Sub3_LF_TO,130,968,205,0.11839708561020036,0.3880597014925373,0.18143754361479414,2.423076923076923
71,treadmill_walknrun,TO,Sub3_RF_TO,450,814,58,0.3560126582278481,0.8858267716535433,0.5079006772009029,3.482222222222222
72,treadmill_walknrun,TO,Sub4_LF_TO,2,97,255,0.020202020202020204,0.007782101167315175,0.011235955056179777,4.5
73,treadmill_walknrun,TO,Sub4_RF_TO,242,611,118,0.283704572098476,0.6722222222222223,0.39901071723000825,1.8636363636363635
74,treadmill_walknrun,TO,Sub5_LF_TO,483,1214,100,0.2846199175014732,0.8284734133790738,0.4236842105263158,3.389233954451346
75,treadmill_walknrun,TO,Sub5_RF_TO,534,1113,116,0.3242258652094718,0.8215384615384616,0.46495428820200263,2.269662921348315
76,treadmill_walknrun,TO,Sub6_LF_TO,0,0,216,0.0,0.0,0.0,1000.0
77,treadmill_walknrun,TO,Sub6_RF_TO,763,815,134,0.4835234474017744,0.850613154960981,0.6165656565656565,2.4993446920052427
78,treadmill_walknrun,TO,Sub7_LF_TO,0,187,246,0.0,0.0,0.0,1000.0
79,treadmill_walknrun,TO,Sub7_RF_TO,1,747,244,0.001336898395721925,0.004081632653061225,0.002014098690835851,5.0
80,treadmill_walknrun,TO,Sub8_LF_TO,95,1604,192,0.055915244261330196,0.3310104529616725,0.09566968781470292,3.126315789473684
81,treadmill_walknrun,TO,Sub8_RF_TO,0,1643,239,0.0,0.0,0.0,1000.0
82,treadmill_walknrun,TO,Sub9_LF_TO,407,420,152,0.4921402660217654,0.7280858676207513,0.5873015873015872,1.5995085995085996
83,treadmill_walknrun,TO,Sub9_RF_TO,389,1127,152,0.25659630606860157,0.7190388170055453,0.37822070977151184,1.5012853470437018
84,treadmill_walknrun,TO,Sub10_LF_TO,104,430,176,0.1947565543071161,0.37142857142857144,0.25552825552825553,3.0096153846153846
85,treadmill_walknrun,TO,Sub10_RF_TO,742,1635,35,0.3121581825830879,0.954954954954955,0.4705136334812936,2.871967654986523
86,treadmill_walknrun,TO,Sub11_LF_TO,0,0,243,0.0,0.0,0.0,1000.0
87,treadmill_walknrun,TO,Sub11_RF_TO,1970,1469,1,0.5728409421343413,0.9994926433282597,0.7282809611829945,2.45989847715736
88,treadmill_run,HS,Sub1_LF_HS,748,152,0,0.8311111111111111,1.0,0.9077669902912622,2.2433155080213902
89,treadmill_run,HS,Sub1_RF_HS,13,5,77,0.7222222222222222,0.14444444444444443,0.2407407407407407,1.0769230769230769
90,treadmill_run,HS,Sub2_LF_HS,614,19,8,0.9699842022116903,0.9871382636655949,0.9784860557768924,1.9136807817589576
91,treadmill_run,HS,Sub2_RF_HS,513,57,7,0.9,0.9865384615384616,0.9412844036697249,1.8830409356725146
92,treadmill_run,HS,Sub3_LF_HS,185,4,0,0.9788359788359788,1.0,0.9893048128342246,1.0108108108108107
93,treadmill_run,HS,Sub3_RF_HS,190,3,0,0.9844559585492227,1.0,0.9921671018276762,1.3105263157894738
94,treadmill_run,HS,Sub4_LF_HS,65,112,64,0.3672316384180791,0.5038759689922481,0.4248366013071895,3.1538461538461537
95,treadmill_run,HS,Sub4_RF_HS,734,4,1,0.994579945799458,0.998639455782313,0.9966055668703327,1.9700272479564032
96,treadmill_run,HS,Sub5_LF_HS,270,0,0,1.0,1.0,1.0,1.2148148148148148
97,treadmill_run,HS,Sub5_RF_HS,89,0,5,1.0,0.9468085106382979,0.9726775956284154,0.6067415730337079
98,treadmill_run,HS,Sub6_LF_HS,248,51,0,0.8294314381270903,1.0,0.9067641681901281,2.0403225806451615
99,treadmill_run,HS,Sub6_RF_HS,0,0,40,0.0,0.0,0.0,1000.0
100,treadmill_run,HS,Sub7_LF_HS,257,2,1,0.9922779922779923,0.9961240310077519,0.9941972920696325,1.0622568093385214
101,treadmill_run,HS,Sub7_RF_HS,278,119,0,0.7002518891687658,1.0,0.8237037037037037,1.435251798561151
102,treadmill_run,HS,Sub8_LF_HS,520,12,1,0.9774436090225563,0.9980806142034548,0.9876543209876544,1.5865384615384615
103,treadmill_run,HS,Sub8_RF_HS,16,0,78,1.0,0.1702127659574468,0.2909090909090909,0.9375
104,treadmill_run,HS,Sub9_LF_HS,0,0,46,0.0,0.0,0.0,1000.0
105,treadmill_run,HS,Sub9_RF_HS,175,5,0,0.9722222222222222,1.0,0.9859154929577464,1.24
106,treadmill_run,HS,Sub10_LF_HS,135,7,0,0.9507042253521126,1.0,0.9747292418772564,1.037037037037037
107,treadmill_run,HS,Sub10_RF_HS,59,4,22,0.9365079365079365,0.7283950617283951,0.8194444444444445,1.6610169491525424
108,treadmill_run,HS,Sub11_LF_HS,108,0,0,1.0,1.0,1.0,1.4444444444444444
109,treadmill_run,HS,Sub11_RF_HS,37,4,10,0.9024390243902439,0.7872340425531915,0.8409090909090909,0.8918918918918919
110,treadmill_run,TO,Sub1_LF_TO,259,486,9,0.3476510067114094,0.9664179104477612,0.5113524185587365,3.5907335907335907
111,treadmill_run,TO,Sub1_RF_TO,0,0,90,0.0,0.0,0.0,1000.0
112,treadmill_run,TO,Sub2_LF_TO,0,0,135,0.0,0.0,0.0,1000.0
113,treadmill_run,TO,Sub2_RF_TO,0,0,136,0.0,0.0,0.0,1000.0
114,treadmill_run,TO,Sub3_LF_TO,91,5,1,0.9479166666666666,0.9891304347826086,0.9680851063829786,0.5054945054945055
115,treadmill_run,TO,Sub3_RF_TO,0,0,63,0.0,0.0,0.0,1000.0
116,treadmill_run,TO,Sub4_LF_TO,3,1044,116,0.0028653295128939827,0.025210084033613446,0.005145797598627787,3.0
117,treadmill_run,TO,Sub4_RF_TO,690,599,0,0.5352986811481769,1.0,0.697321879737241,1.8318840579710145
118,treadmill_run,TO,Sub5_LF_TO,264,31,8,0.8949152542372881,0.9705882352941176,0.9312169312169313,1.5151515151515151
119,treadmill_run,TO,Sub5_RF_TO,340,27,3,0.9264305177111717,0.9912536443148688,0.9577464788732395,1.6205882352941177
