,activity,event,dataset_id,cross_val_id ,true_pos,false_pos,false_neg,precision,recall,F1,mean_abs_time_diff
600,indoor_walk,TO,Sub2_LF_TO,1,56,176,27,0.2413793103448276,0.6746987951807228,0.3555555555555555,3.5357142857142856
601,indoor_walk,TO,Sub2_LF_TO,2,264,4,0,0.9850746268656716,1.0,0.9924812030075187,1.5151515151515151
602,indoor_walk,TO,Sub2_LF_TO,3,424,26,2,0.9422222222222222,0.9953051643192489,0.9680365296803654,2.207547169811321
603,indoor_walk,TO,Sub2_RF_TO,1,42,0,29,1.0,0.5915492957746479,0.743362831858407,2.119047619047619
604,indoor_walk,TO,Sub2_RF_TO,2,245,38,0,0.8657243816254417,1.0,0.9280303030303031,1.4489795918367347
605,indoor_walk,TO,Sub2_RF_TO,3,369,253,0,0.5932475884244373,1.0,0.7447023208879919,1.91869918699187
606,indoor_walk,TO,Sub3_LF_TO,1,273,2,0,0.9927272727272727,1.0,0.9963503649635036,1.4102564102564104
607,indoor_walk,TO,Sub3_LF_TO,2,318,1,0,0.9968652037617555,1.0,0.9984301412872841,2.1289308176100628
608,indoor_walk,TO,Sub3_LF_TO,3,295,133,1,0.6892523364485982,0.9966216216216216,0.8149171270718232,2.535593220338983
609,indoor_walk,TO,Sub3_RF_TO,1,529,92,0,0.8518518518518519,1.0,0.92,2.6408317580340266
610,indoor_walk,TO,Sub3_RF_TO,2,446,24,0,0.948936170212766,1.0,0.9737991266375546,2.3475336322869955
611,indoor_walk,TO,Sub3_RF_TO,3,266,104,1,0.7189189189189189,0.9962546816479401,0.8351648351648352,2.345864661654135
612,indoor_walk,TO,Sub4_LF_TO,1,303,8,0,0.9742765273311897,1.0,0.9869706840390879,2.1683168316831685
613,indoor_walk,TO,Sub4_LF_TO,2,401,111,0,0.783203125,1.0,0.8784227820372399,2.316708229426434
614,indoor_walk,TO,Sub4_LF_TO,3,226,62,1,0.7847222222222222,0.9955947136563876,0.8776699029126215,2.47787610619469
615,indoor_walk,TO,Sub4_RF_TO,1,342,10,0,0.9715909090909091,1.0,0.9855907780979827,1.894736842105263
616,indoor_walk,TO,Sub4_RF_TO,2,369,9,0,0.9761904761904762,1.0,0.9879518072289156,2.043360433604336
617,indoor_walk,TO,Sub4_RF_TO,3,323,15,0,0.9556213017751479,1.0,0.9773071104387292,1.8730650154798762
618,indoor_walk,TO,Sub5_LF_TO,1,335,16,0,0.9544159544159544,1.0,0.9766763848396501,1.6328358208955225
619,indoor_walk,TO,Sub5_LF_TO,2,258,2,0,0.9923076923076923,1.0,0.9961389961389961,1.2868217054263567
620,indoor_walk,TO,Sub5_LF_TO,3,175,2,0,0.9887005649717514,1.0,0.9943181818181819,0.9028571428571428
621,indoor_walk,TO,Sub5_RF_TO,1,159,33,4,0.828125,0.9754601226993865,0.8957746478873239,1.490566037735849
622,indoor_walk,TO,Sub5_RF_TO,2,271,0,0,1.0,1.0,1.0,1.2472324723247232
623,indoor_walk,TO,Sub5_RF_TO,3,253,0,0,1.0,1.0,1.0,1.3122529644268774
624,indoor_walk,TO,Sub6_LF_TO,1,234,133,0,0.6376021798365122,1.0,0.7787021630615641,1.4615384615384615
625,indoor_walk,TO,Sub6_LF_TO,2,204,0,0,1.0,1.0,1.0,1.2598039215686274
626,indoor_walk,TO,Sub6_LF_TO,3,129,0,2,1.0,0.9847328244274809,0.9923076923076923,1.193798449612403
